Candidate,County Name,Mode,Office,Party,State,State Po,Version,Year,Candidatevotes,County Fips,Totalvotes
AL GORE,FRANKLIN,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,1,14922,42055,48969
GEORGE W. BUSH,FRANKLIN,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,1,33042,42055,48969
RALPH NADER,FRANKLIN,TOTAL,US PRESIDENT,GREEN,PENNSYLVANIA,PA,3/15/22,1,761,42055,48969
OTHER,FRANKLIN,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,1,244,42055,48969
AL GORE,FULTON,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,1,1425,42057,5285
GEORGE W. BUSH,FULTON,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,1,3753,42057,5285
RALPH NADER,FULTON,TOTAL,US PRESIDENT,GREEN,PENNSYLVANIA,PA,3/15/22,1,77,42057,5285
OTHER,FULTON,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,1,30,42057,5285
AL GORE,GREENE,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,1,7230,42059,13634
GEORGE W. BUSH,GREENE,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,1,5890,42059,13634
RALPH NADER,GREENE,TOTAL,US PRESIDENT,GREEN,PENNSYLVANIA,PA,3/15/22,1,337,42059,13634
OTHER,GREENE,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,1,177,42059,13634
AL GORE,HUNTINGDON,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,1,5073,42061,15957
GEORGE W. BUSH,HUNTINGDON,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,1,10408,42061,15957
RALPH NADER,HUNTINGDON,TOTAL,US PRESIDENT,GREEN,PENNSYLVANIA,PA,3/15/22,1,340,42061,15957
OTHER,HUNTINGDON,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,1,136,42061,15957
AL GORE,INDIANA,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,1,13667,42063,31401
GEORGE W. BUSH,INDIANA,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,1,16799,42063,31401
RALPH NADER,INDIANA,TOTAL,US PRESIDENT,GREEN,PENNSYLVANIA,PA,3/15/22,1,711,42063,31401
OTHER,INDIANA,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,1,224,42063,31401
AL GORE,JEFFERSON,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,1,5566,42065,17574
GEORGE W. BUSH,JEFFERSON,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,1,11473,42065,17574
RALPH NADER,JEFFERSON,TOTAL,US PRESIDENT,GREEN,PENNSYLVANIA,PA,3/15/22,1,339,42065,17574
OTHER,JEFFERSON,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,1,196,42065,17574
AL GORE,JUNIATA,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,1,2656,42067,8667
GEORGE W. BUSH,JUNIATA,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,1,5795,42067,8667
RALPH NADER,JUNIATA,TOTAL,US PRESIDENT,GREEN,PENNSYLVANIA,PA,3/15/22,1,158,42067,8667
OTHER,JUNIATA,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,1,58,42067,8667
AL GORE,LACKAWANNA,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,1,57471,42069,96381
GEORGE W. BUSH,LACKAWANNA,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,1,35096,42069,96381
RALPH NADER,LACKAWANNA,TOTAL,US PRESIDENT,GREEN,PENNSYLVANIA,PA,3/15/22,1,2134,42069,96381
OTHER,LACKAWANNA,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,1,1680,42069,96381
AL GORE,LANCASTER,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,1,54968,42071,175317
GEORGE W. BUSH,LANCASTER,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,1,115900,42071,175317
RALPH NADER,LANCASTER,TOTAL,US PRESIDENT,GREEN,PENNSYLVANIA,PA,3/15/22,1,3341,42071,175317
OTHER,LANCASTER,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,1,1108,42071,175317
AL GORE,LAWRENCE,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,1,20593,42073,39640
GEORGE W. BUSH,LAWRENCE,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,1,18060,42073,39640
RALPH NADER,LAWRENCE,TOTAL,US PRESIDENT,GREEN,PENNSYLVANIA,PA,3/15/22,1,653,42073,39640
OTHER,LAWRENCE,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,1,334,42073,39640
AL GORE,LEBANON,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,1,16093,42075,45880
GEORGE W. BUSH,LEBANON,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,1,28534,42075,45880
RALPH NADER,LEBANON,TOTAL,US PRESIDENT,GREEN,PENNSYLVANIA,PA,3/15/22,1,873,42075,45880
OTHER,LEBANON,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,1,380,42075,45880
AL GORE,LEHIGH,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,1,56667,42077,116280
GEORGE W. BUSH,LEHIGH,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,1,55492,42077,116280
RALPH NADER,LEHIGH,TOTAL,US PRESIDENT,GREEN,PENNSYLVANIA,PA,3/15/22,1,3278,42077,116280
OTHER,LEHIGH,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,1,843,42077,116280
AL GORE,LUZERNE,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,1,62199,42079,119586
GEORGE W. BUSH,LUZERNE,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,1,52328,42079,119586
RALPH NADER,LUZERNE,TOTAL,US PRESIDENT,GREEN,PENNSYLVANIA,PA,3/15/22,1,3456,42079,119586
OTHER,LUZERNE,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,1,1603,42079,119586
AL GORE,LYCOMING,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,1,14663,42081,43183
GEORGE W. BUSH,LYCOMING,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,1,27137,42081,43183
RALPH NADER,LYCOMING,TOTAL,US PRESIDENT,GREEN,PENNSYLVANIA,PA,3/15/22,1,965,42081,43183
OTHER,LYCOMING,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,1,418,42081,43183
AL GORE,MCKEAN,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,1,5510,42083,15804
GEORGE W. BUSH,MCKEAN,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,1,9661,42083,15804
RALPH NADER,MCKEAN,TOTAL,US PRESIDENT,GREEN,PENNSYLVANIA,PA,3/15/22,1,403,42083,15804
OTHER,MCKEAN,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,1,230,42083,15804
AL GORE,MERCER,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,1,23817,42085,48725
GEORGE W. BUSH,MERCER,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,1,23132,42085,48725
RALPH NADER,MERCER,TOTAL,US PRESIDENT,GREEN,PENNSYLVANIA,PA,3/15/22,1,1073,42085,48725
OTHER,MERCER,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,1,703,42085,48725
AL GORE,MIFFLIN,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,1,4835,42087,14614
GEORGE W. BUSH,MIFFLIN,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,1,9400,42087,14614
RALPH NADER,MIFFLIN,TOTAL,US PRESIDENT,GREEN,PENNSYLVANIA,PA,3/15/22,1,264,42087,14614
OTHER,MIFFLIN,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,1,115,42087,14614
AL GORE,MONROE,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,1,21939,42089,46878
GEORGE W. BUSH,MONROE,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,1,23265,42089,46878
RALPH NADER,MONROE,TOTAL,US PRESIDENT,GREEN,PENNSYLVANIA,PA,3/15/22,1,1319,42089,46878
OTHER,MONROE,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,1,355,42089,46878
AL GORE,MONTGOMERY,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,1,177990,42091,332422
GEORGE W. BUSH,MONTGOMERY,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,1,145623,42091,332422
RALPH NADER,MONTGOMERY,TOTAL,US PRESIDENT,GREEN,PENNSYLVANIA,PA,3/15/22,1,6816,42091,332422
OTHER,MONTGOMERY,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,1,1993,42091,332422
AL GORE,MONTOUR,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,1,2356,42093,6492
GEORGE W. BUSH,MONTOUR,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,1,3960,42093,6492
RALPH NADER,MONTOUR,TOTAL,US PRESIDENT,GREEN,PENNSYLVANIA,PA,3/15/22,1,132,42093,6492
OTHER,MONTOUR,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,1,44,42093,6492
AL GORE,NORTHAMPTON,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,1,53097,42095,104690
GEORGE W. BUSH,NORTHAMPTON,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,1,47396,42095,104690
RALPH NADER,NORTHAMPTON,TOTAL,US PRESIDENT,GREEN,PENNSYLVANIA,PA,3/15/22,1,3012,42095,104690
OTHER,NORTHAMPTON,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,1,1185,42095,104690
AL GORE,NORTHUMBERLAND,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,1,13670,42097,33251
GEORGE W. BUSH,NORTHUMBERLAND,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,1,18142,42097,33251
RALPH NADER,NORTHUMBERLAND,TOTAL,US PRESIDENT,GREEN,PENNSYLVANIA,PA,3/15/22,1,956,42097,33251
OTHER,NORTHUMBERLAND,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,1,483,42097,33251
AL GORE,PERRY,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,1,4459,42099,16071
GEORGE W. BUSH,PERRY,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,1,11184,42099,16071
RALPH NADER,PERRY,TOTAL,US PRESIDENT,GREEN,PENNSYLVANIA,PA,3/15/22,1,309,42099,16071
OTHER,PERRY,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,1,119,42099,16071
AL GORE,PHILADELPHIA,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,1,449182,42101,561180
GEORGE W. BUSH,PHILADELPHIA,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,1,100959,42101,561180
RALPH NADER,PHILADELPHIA,TOTAL,US PRESIDENT,GREEN,PENNSYLVANIA,PA,3/15/22,1,8206,42101,561180
OTHER,PHILADELPHIA,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,1,2833,42101,561180
AL GORE,PIKE,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,1,7330,42103,17364
GEORGE W. BUSH,PIKE,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,1,9339,42103,17364
